,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio
0,新時代,Ado,2022-08-09,0.46496160325551894,0.7397260273972601,0.42245199409158046,0.06267687622564347,1.0,0.8260300850228909,0.9549822534360368,0.3744911804613298,https://open.spotify.com/track/28MATCYDctW5EiBa2repxb,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,なし
1,逆光,Ado,2022-08-09,0.524323407793117,0.7123287671232876,0.5317577548005907,0.0,0.8657817109144544,0.565075212557227,0.6714053768312942,0.7299864314789687,https://open.spotify.com/track/78MS9OT9Flm2V78fhTw4rk,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,なし
2,私は最強,Ado,2022-08-09,0.630505174262148,0.6986301369863013,0.5509601181683899,0.26767601883929226,0.8185840707964603,0.721223021582734,0.2090224286361576,0.7096336499321573,https://open.spotify.com/track/5YQNjKZofFhlBCIzTVY6rW,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,なし
3,W / X / Y,Tani Yuuki,2021-12-08,0.745580545649463,0.726027397260274,0.6262924667651404,0.2045001824363439,0.6873156342182892,0.46631785480706356,0.30664740975683435,0.6770691994572592,https://open.spotify.com/track/4IfrM44LofE9bSs6TDZS49,https://i.scdn.co/image/ab67616d0000b27303e1a7fcbea3b074e69db4be,https://p.scdn.co/mp3-preview/1a232a4b14d991d827e25c162f5e222636aa43d0?cid=18308f0d5b8049c89ee330d9cfa4bc58
4,ウタカタララバイ,Ado,2022-08-09,0.1726650184873214,0.7397260273972601,0.47267355982274745,0.2302862381110167,0.8923303834808262,0.854643557880968,0.1427088053164174,0.6173677069199457,https://open.spotify.com/track/3IhHrBYZaxySuRu1zI7Vuk,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,なし
5,ダンスホール,Mrs. GREEN APPLE,2022-05-23,0.3355284748506794,0.7397260273972601,0.7858197932053175,0.026447468002728163,0.5693215339233039,0.565892740353172,0.34057355384383015,0.8263229308005426,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,https://i.scdn.co/image/ab67616d0000b273e552c9dbdf76676de1032ae0,なし
6,Tot Musica,Ado,2022-08-09,0.2921926619554992,0.7534246575342465,0.6868537666174299,0.09362014303525083,0.9218289085545724,0.5531393067364292,0.5293479081709709,0.0,https://open.spotify.com/track/5hL1l3xsH0ZyKl8yUI6woj,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,なし
7,シンデレラボーイ,Saucy Dog,2021-08-25,0.5060384623799418,0.7397260273972601,0.5790251107828654,0.0959408880459714,0.6283185840707964,0.15843688685415325,0.3229213864975078,0.47354138398914525,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V,https://i.scdn.co/image/ab67616d0000b27381b5fbf6470347967b819fe3,https://p.scdn.co/mp3-preview/7b0029c37d26c0ae1d86db6936af33d6958f9b6f?cid=18308f0d5b8049c89ee330d9cfa4bc58
8,Habit,SEKAI NO OWARI,2022-04-28,0.6090314393856521,0.7534246575342465,0.8050221565731166,0.2612295049206241,0.7979351032448377,0.3173642903858733,0.41601533001057245,1.0,https://open.spotify.com/track/2uMNMcjjUz8oNIxjIu20qE,https://i.scdn.co/image/ab67616d0000b2733e94f2b2c3303120be19210b,なし
9,風のゆくえ,Ado,2022-08-09,0.7146662436825869,0.726027397260274,0.3500738552437223,0.2045001824363439,0.6017699115044247,0.5480706344015698,0.623867240598097,0.07869742198100407,https://open.spotify.com/track/2JPT05xVbGuIkAc0LNRo3s,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,なし
